goods_nomenclature_item_id,productline_suffix,referenced_class,title,indent
0101000000,80,Heading,asses,
0101000000,80,Heading,hinnies,
0101000000,80,Heading,mules,
0102000000,80,Heading,bovine animals (live),
0102000000,80,Heading,buffaloes (live),
0102000000,80,Heading,bullocks (live),
0102000000,80,Heading,bulls (live),
0102000000,80,Heading,calves,
0102000000,80,Heading,cattle,
0102000000,80,Heading,cows (live),
0102000000,80,Heading,heifers,
0102000000,80,Heading,steers,
0103000000,80,Heading,pigs (live),
0103000000,80,Heading,swine,
0104000000,80,Heading,goats,
0104000000,80,Heading,lambs,
0105000000,80,Heading,chickens (gallus domesticus),
0105000000,80,Heading,ducks,
0105000000,80,Heading,fowls (live),
0105000000,80,Heading,geese,
0105000000,80,Heading,guinea fowls,
0105000000,80,Heading,poultry (live),
0105000000,80,Heading,turkeys,
0106000000,80,Heading,bees,
0106000000,80,Heading,birds (other than poultry),
0106000000,80,Heading,cats,
0106000000,80,Heading,dogs,
0106000000,80,Heading,greyhounds,
0106000000,80,Heading,pigeons (live),
0106000000,80,Heading,"rabbits, domestic",
0106000000,80,Heading,zoo animals,
0106130000,80,Commodity,alpacas,
0106130000,80,Commodity,guanacos,
0106130000,80,Commodity,vicunas,
0106190000,80,Commodity,live cats,
0106190000,80,Commodity,live dogs,
0201000000,80,Heading,"beef (fresh, chilled or frozen)",
0201000000,80,Heading,veal (fresh or chilled),
0202000000,80,Heading,veal (frozen),
0203000000,80,Heading,"pork (fresh, chilled or frozen)",
0204000000,80,Heading,goat meat,
0204000000,80,Heading,"lamb meat (fresh, chilled or frozen)",
0204000000,80,Heading,"mutton (fresh, chilled or frozen)",
0205000000,80,Heading,"horsemeat (fresh, chilled or frozen)",
0206000000,80,Heading,"edible offal, meat - fresh chilled frozen",
0206000000,80,Heading,"offal, edible meat - fresh, chilled, frozen",
0206000000,80,Heading,sweetbreads (edible offal),
0206210000,80,Commodity,"beef tongue, frozen",
0207000000,80,Heading,chicken liver,
0207000000,80,Heading,"edible offal, poultry (other than liver)",
0207000000,80,Heading,"fowls, dead",
0207000000,80,Heading,"liver, poultry",
0207000000,80,Heading,"offal, edible, poultry (other than liver)",
0207000000,80,Heading,poultry meat (canned prepared or otherwise preserved),
0207000000,80,Heading,"poultry meat (fresh, chilled or frozen)",
0208000000,80,Heading,frogs legs,
0208000000,80,Heading,"game (meat and edible offals), fresh chilled or frozen",
0208000000,80,Heading,"offal, edible meat (fresh, chilled or frozen)",
0208000000,80,Heading,pigeons (dead),
0208000000,80,Heading,rabbits (dead),
0208000000,80,Heading,seal meat,
0208000000,80,Heading,toads legs,
0208000000,80,Heading,"venison (fresh, chilled or frozen)",
0208000000,80,Heading,whale meat,
0209000000,80,Heading,"fat, pig and poultry, unrendered",
0209000000,80,Heading,"pig fat, unrendered",
0209000000,80,Heading,"poultry fat, unrendered",
0210000000,80,Heading,bacon,
0210000000,80,Heading,"beef - salted, in brine, dried or smoked",
0210000000,80,Heading,"edible offal, meat - salted, in brine, dried or smoked",
0210000000,80,Heading,hams (dried or smoked),
