"SID","Commodity code","Product line suffix","Start date","End date","Indentation","End line","Description"
27623,"0100000000","80","31/12/1971","",0,0,"LIVE ANIMALS"
27624,"0101000000","80","01/01/1972","",0,0,"Live horses, asses, mules and hinnies"
93797,"0101210000","10","01/01/2012","",1,0,"Horses"
93796,"0101210000","80","01/01/2012","",2,1,"Pure-bred breeding animals"
93798,"0101290000","80","01/01/2012","",2,0,"Other"
93799,"0101291000","80","01/01/2012","",3,1,"For slaughter"
93800,"0101299000","80","01/01/2012","",3,1,"Other"
93801,"0101300000","80","01/01/2012","",1,1,"Asses"
72763,"0101900000","80","01/01/2002","",1,1,"Other"
27633,"0102000000","80","01/01/1972","",0,0,"Live bovine animals"
94053,"0102210000","10","01/01/2012","",1,0,"Cattle"
94047,"0102210000","80","01/01/2012","",2,0,"Pure-bred breeding animals"
94048,"0102211000","80","01/01/2012","",3,1,"Heifers (female bovines that have never calved)"
94049,"0102213000","80","01/01/2012","",3,1,"Cows"
94050,"0102219000","80","01/01/2012","",3,1,"Other"
94056,"0102290000","80","01/01/2012","",2,0,"Other"
96756,"0102290500","80","01/01/2013","",3,1,"Of the sub-genus Bibos or of the sub-genus Poephagus"
96757,"0102291000","10","01/01/2013","",3,0,"Other"
94057,"0102291000","80","01/01/2012","",4,0,"Of a weight not exceeding 80 kg"
94058,"0102291010","80","01/01/2012","",5,1,"Young male bovine animals, intended for fattening"
94059,"0102291020","80","01/01/2012","",5,1,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter"
94060,"0102291030","80","01/01/2012","",5,1,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter"
94061,"0102291040","80","01/01/2012","",5,1,"Heifers of the spotted Simmental breed, other than for slaughter"
94062,"0102291050","80","01/01/2012","",5,1,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter"
94063,"0102291090","80","01/01/2012","",5,1,"Other"
94064,"0102292100","10","01/01/2012","",4,0,"Of a weight exceeding 80 kg but not exceeding 160 kg"
94065,"0102292100","80","01/01/2012","",5,1,"For slaughter"
94066,"0102292900","80","01/01/2012","",5,0,"Other"
94067,"0102292910","80","01/01/2012","",6,1,"Young male bovine animals, intended for fattening"
94068,"0102292920","80","01/01/2012","",6,1,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
