Key,Was,Is
0101290000_80,Other,Other than pure-bred breeding animals
0101299000_80,Other,Other than for slaughter
0102290000_80,Other,Other than pure-bred breeding animals
0102291000_10,Other,Other than of the sub-genus Bibos or of the sub-genus Poephagus
0102292900_80,Other,Other than for slaughter
0102294900_80,Other,Other than for slaughter
0102295190_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
0102295900_80,Other,Other than for slaughter
0102295919_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
0102295929_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
0102295939_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
0102295999_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
0102296900_80,Other,Other than for slaughter
0102299190_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
0102299900_80,Other,Other than for slaughter
0102299929_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
0102299991_10,Other,"Other than bulls of the Schwyz, Fribourg and spotted Simmental breeds"
0102299999_80,Other,"Other than not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
0102390000_80,Other,Other than pure-bred breeding animals
0102391090_80,Other,Other than of a weight exceeding 160 kg
0102399000_80,Other,Other than domestic species
0102909100_10,Other,Other than pure-bred breeding animals
0102909190_80,Other,Other than of a weight exceeding 160 kg
0102909900_80,Other,Other than domestic species
0103910000_10,Other,Other than pure-bred breeding animals
0103919000_80,Other,Other than domestic species
0103921900_80,Other,"Other than sows having farrowed at least once, of a weight of not less than 160 kg"
0103929000_80,Other,Other than domestic species
0104103000_10,Other,Other than pure-bred breeding animals
0104108000_80,Other,Other than lambs (up to a year old)
0104209000_80,Other,Other than pure-bred breeding animals
0105111900_80,Other,Other than laying stocks
0105119100_10,Other,Other than grandparent and parent female chicks
0105119900_80,Other,Other than laying stocks
0105940000_10,Other,Other than weighing not more than 185 g
0105990000_80,Other,Other than fowls of the species Gallus domesticus
0106149000_80,Other,Other than domestic rabbits
0106398000_80,Other,Other than pigeons
0106490000_80,Other,Other than bees
0106900019_80,Other,Other than fit for human consumption
0106900090_80,Other,Other than frogs
0201100029_80,Other,Other than of bison
0201100092_10,Other,Other than high quality beef and veal
0201100094_80,Other,Other than of bison
0201100097_10,Other,"Other than carcases of a weight of 180 kg or more but not exceeding 300 kg and half-carcases, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201100098_80,Other,Other than of bison
0201202029_80,Other,Other than of bison
0201202092_10,Other,Other than high quality beef and veal
0201202094_80,Other,Other than of bison
0201202097_10,Other,"Other than 'Compensated' quarters, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201202098_80,Other,Other than of bison
0201203029_80,Other,Other than of bison
0201203092_10,Other,Other than high quality beef and veal
0201203094_80,Other,Other than of bison
0201203097_10,Other,"Other than separated forequarters of a weight of 45 kg or more but not exceeding 75 kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201203098_80,Other,Other than of bison
0201205029_80,Other,Other than of bison
0201205092_10,Other,Other than high quality beef and veal
0201205094_80,Other,Other than of bison
0201205097_10,Other,"Other than separated hindquarters of a weight of 45 kg or more but not exceeding 75 kg (38 kg or more but not exceeding 68 kg in the case of 'Pistola' cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201205098_80,Other,Other than of bison
0201209015_80,Other,Other than of bison
0201209091_10,Other,Other than high quality beef and veal
0201209099_80,Other,Other than of bison
0201300039_80,Other,Other than of bison
0201300041_10,Other,Other than high quality
0201300049_80,Other,Other than of bison
0201300090_80,Other,Other than buffalo meat
0202100015_80,Other,Other than of bison
0202100091_10,Other,Other than high quality beef and veal
0202100099_80,Other,Other than of bison
0202201015_80,Other,Other than of bison
0202201091_10,Other,Other than high quality beef and veal
0202201099_80,Other,Other than of bison
0202203015_80,Other,Other than of bison
0202203081_10,Other,Other than high quality beef and veal
0202203082_80,Other,Other than of bison
0202203084_80,Other,Other than of bison
0202203086_80,Other,Other than of bison
0202203087_10,Other,Other than intended for processing
0202203088_80,Other,Other than of bison
0202205015_80,Other,Other than of bison
0202205091_10,Other,Other than high quality beef and veal
0202205099_80,Other,Other than of bison
0202209015_80,Other,Other than of bison
0202209091_10,Other,Other than high quality beef and veal
0202209099_80,Other,Other than of bison
0202301015_80,Other,Other than of bison
0202301081_10,Other,Other than high quality beef and veal
0202301082_80,Other,Other than of bison
0202301084_80,Other,Other than of bison
0202301086_80,Other,Other than of bison
0202301087_10,Other,Other than intended for processing
0202301088_80,Other,Other than of bison
0202305015_80,Other,Other than of bison
0202305081_10,Other,Other than high quality beef and veal
0202305082_80,Other,Other than of bison
0202305084_80,Other,Other than of bison
0202305086_80,Other,Other than of bison
0202305087_10,Other,Other than intended for processing
0202305088_80,Other,Other than of bison
0202309015_80,Other,Other than of bison
0202309041_10,Other,Other than high quality
0202309042_80,Other,Other than of bison
0202309044_80,Other,Other than of bison
0202309046_80,Other,Other than of bison
0202309047_10,Other,Other than intended for processing
0202309048_80,Other,Other than of bison
0202309070_10,Other,Other than buffalo meat
0202309090_80,Other,Other than intended for processing
0203119000_80,Other,Other than of domestic swine
0203129000_80,Other,Other than of domestic swine
0203195900_80,Other,Other than boneless
0203199000_80,Other,Other than of domestic swine
0203219000_80,Other,Other than of domestic swine
0203229000_80,Other,Other than of domestic swine
0203295591_10,Other,"Other than loins and cuts thereof, excluding tenderloin presented separately"
0203295900_80,Other,Other than boneless
0203299000_80,Other,Other than of domestic swine
0204100090_80,Other,Other than of domestic lamb
0204210090_80,Other,Other than of domestic sheep
0204221090_80,Other,Other than of domestic sheep
0204223090_80,Other,Other than of domestic sheep
0204225090_80,Other,Other than of domestic sheep
0204229090_80,Other,Other than of domestic sheep
0204230019_80,Other,Other than of lamb
0204230091_10,Other,Other than of domestic sheep
0204230099_80,Other,Other than of lamb
0204300090_80,Other,Other than of domestic lamb
0204410090_80,Other,Other than of domestic sheep
0204421090_80,Other,Other than of domestic sheep
0204423090_80,Other,Other than of domestic sheep
0204425090_80,Other,Other than of domestic sheep
0204429090_80,Other,Other than of domestic sheep
0204431090_80,Other,Other than of domestic sheep
0204439000_80,Other,Other than of lamb
0204439090_80,Other,Other than of domestic sheep
0204503990_80,Other,Other than goatmeat of kid
0204507990_80,Other,Other than goatmeat of kid
0206109500_10,Other,Other than for the manufacture of pharmaceutical products
0206109515_80,Other,Other than of bison
0206109591_10,Other,Other than of high quality
0206109599_80,Other,Other than of bison
0206109800_80,Other,Other than thick skirt and thin skirt
0206299100_10,Other,Other than for the manufacture of pharmaceutical products
0206299115_80,Other,Other than of bison
0206299121_10,Other,"Other than thin skirt, whole"
0206299129_80,Other,Other than of bison
0206299133_10,Other,Other than of high quality
0206299135_80,Other,Other than of bison
0206299138_80,Other,Other than of bison
0206299142_80,Other,Other than of bison
0206299144_10,Other,Other than intended for processing
0206299145_80,Other,Other than of bison
0206299151_10,Other,"Other than thin skirt, whole"
0206299159_80,Other,Other than of bison
0206299169_80,Other,Other than of bison
0206299179_80,Other,Other than of bison
0206299191_10,Other,Other than intended for processing
0206299199_80,Other,Other than of bison
0206299900_80,Other,Other than thick skirt and thin skirt
0206300090_80,Other,Other than of domestic swine
0206410090_80,Other,Other than of domestic swine
0206490000_80,Other,Other than livers
0206809100_10,Other,Other than for the manufacture of pharmaceutical products
0206909100_10,Other,Other than for the manufacture of pharmaceutical products
0207139900_80,Other,Other than livers
0207149900_80,Other,Other than livers
0207267000_80,Other,Other than drumsticks and cuts of drumsticks
0207269900_80,Other,Other than livers
0207277000_80,Other,Other than drumsticks and cuts thereof
0207279900_80,Other,Other than livers
0207449900_80,Other,"Other than livers, other than fatty livers"
0207459500_80,Other,Other than fatty livers
